Product Name,URL,Price
"Smiley Dust Cleaner Brush, Cleaning Kit for all Electronic Products",/Smiley-Cleaner-Cleaning-Electronic-Products/dp/B01N250B5H/ref=sr_1_65?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-65,149
Tommy Hilfiger 19.53 Ltrs Navy Laptop Backpack (TH/BIKOL08HRP),/Tommy-Hilfiger-Backpack-TH-BIKOL08HRP/dp/B077S675P9/ref=sr_1_66?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462468&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-66,"1,075"
"Spincart 3 In 1 Screen Cleaning Kit For Laptops,Mobiles,LCD,LED,Computers,And TV",/Spincart-Cleaning-Laptops-Mobiles-Computers/dp/B078L52WTP/ref=sr_1_67?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-67,199
"HP 14 Core i3 7th Gen 14-inch FHD Laptop (4GB/1TB HDD/Win 10/Integrated Graphics/MS Office/Natural Silver/1.47 kg), 14s-cf0055tu",/HP-14-inch-Integrated-Graphics-14s-cf0055tu/dp/B07JL3HMKZ/ref=sr_1_68?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-68,"35,950"
"HP 15 Core i3 Laptop (4GB DDR4 RAM/1TB HDD/DOS/Jet Black/2.04 kg), 15q-ds0015TU",/HP-15q-ds0015TU-15-6-inch-i3-7020U-Integrated/dp/B07GB4HQL7/ref=sr_1_69?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-69,"28,490"
Callas Ventilated Height Adjustable Laptop Cooling Pad/Laptop Stand (Black),/Callas-Ventilated-Height-Adjustable-Cooling/dp/B07P71MTG2/ref=sr_1_70?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-70,699
"Cosmic Byte GS410 Headphones with Mic and for PS4, Xbox One, Laptop, PC, iPhone and Android Phones (Black/Green)",/Cosmic-Byte-GS410-Headphones-Green/dp/B07K7YR8SP/ref=sr_1_71?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-71,
HP Entry Level Backpack for Upto 15.6 Inch Laptops (F6Q97PA),/HP-Entry-Level-Backpack-Black/dp/B00JP2LK08/ref=sr_1_72?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-72,640
Crucial CT8G4SFS824A 8GB DDR4-2400 PC4-19200 CL-17 SODIMM RAM,/Crucial-8GB-DDR4-2400-SODIMM-CT8G4SFS824A/dp/B01BIWKP58/ref=sr_1_73?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-73,"2,800"
"Amputive Youlav Lapel lavalier Clip Microphone For Youtube voice recording, omnidirectional mic for Laptop Smartphones PC",/Amputive-Microphone-recording-omnidirectional-Smartphones/dp/B07QG1PZ3N/ref=sr_1_74?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-74,455
"Lenovo Ideapad 330 AMD A9 Processor 15.6-inch Laptop (4GB RAM/1TB HDD/2GB Graphics/DOS/Onyx Black/ 2.2kg), 81D600BXIN",/Lenovo-Processor-15-6-inch-Graphics-81D600BXIN/dp/B07HBGQVDF/ref=sr_1_75?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-75,"24,550"
Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_76?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-76,485
"Mufubu Presents Get Unbarred 55 LTR Rucksack for Trekking, Hiking with Shoe Compartment",/Presents-Unbarred-Rucksack-Trekking-Compartment/dp/B07L4JHCW3/ref=sr_1_77?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462472&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-77,849
